ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-aceclofenac,Ацеклофенак,Aceclofenac,en,english,public_generic_inn,verified,M01AB16,v0.9 curated generic batch
ing-aceclofenac,Ацеклофенак,Aceclofenacum,la,latin,public_generic_inn,verified,M01AB16,v0.9 curated generic batch
ing-aceclofenac,Ацеклофенак,atseklofenak,uk-Latn,transliteration,project_generated_transliteration,high,M01AB16,v0.9 deterministic transliteration
ing-aceclofenac,Ацеклофенак,Ацеклофенак,uk,ukrainian,public_generic_inn,verified,M01AB16,v0.9 curated generic batch
ing-acetylsalicylic-acid,Ацетилсаліцилова кислота,Acetylsalicylic acid,en,english,public_generic_inn,verified,N02BA01,v0.9 curated generic batch
ing-acetylsalicylic-acid,Ацетилсаліцилова кислота,Acidum acetylsalicylicum,la,latin,public_generic_inn,verified,N02BA01,v0.9 curated generic batch
ing-acetylsalicylic-acid,Ацетилсаліцилова кислота,atsetylsalitsylova kyslota,uk-Latn,transliteration,project_generated_transliteration,high,N02BA01,v0.9 deterministic transliteration
ing-acetylsalicylic-acid,Ацетилсаліцилова кислота,Ацетилсаліцилова кислота,uk,ukrainian,public_generic_inn,verified,N02BA01,v0.9 curated generic batch
ing-dexketoprofen,Декскетопрофен,Dexketoprofen,en,english,public_generic_inn,verified,M01AE17,v0.9 curated generic batch
ing-dexketoprofen,Декскетопрофен,Dexketoprofenum,la,latin,public_generic_inn,verified,M01AE17,v0.9 curated generic batch
ing-dexketoprofen,Декскетопрофен,deksketoprofen,uk-Latn,transliteration,project_generated_transliteration,high,M01AE17,v0.9 deterministic transliteration
ing-dexketoprofen,Декскетопрофен,Декскетопрофен,uk,ukrainian,public_generic_inn,verified,M01AE17,v0.9 curated generic batch
ing-diclofenac,Диклофенак,Diclofenac,en,english,public_generic_inn,verified,M01AB05,v0.9 curated generic batch
ing-diclofenac,Диклофенак,Diclofenacum,la,latin,public_generic_inn,verified,M01AB05,v0.9 curated generic batch
ing-diclofenac,Диклофенак,dyklofenak,uk-Latn,transliteration,project_generated_transliteration,high,M01AB05,v0.9 deterministic transliteration
