ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-amiodarone,Аміодарон,Amiodarone,en,english,public_generic_inn,verified,C01BD01,v0.9 curated generic batch
ing-amiodarone,Аміодарон,Amiodaronum,la,latin,public_generic_inn,verified,C01BD01,v0.9 curated generic batch
ing-amiodarone,Аміодарон,amiodaron,uk-Latn,transliteration,project_generated_transliteration,high,C01BD01,v0.9 deterministic transliteration
ing-amiodarone,Аміодарон,Аміодарон,uk,ukrainian,public_generic_inn,verified,C01BD01,v0.9 curated generic batch
ing-amlodipine,Амлодипін,Amlodipine,en,english,public_generic_inn,verified,C08CA01,v0.9 curated generic batch
ing-amlodipine,Амлодипін,Amlodipinum,la,latin,public_generic_inn,verified,C08CA01,v0.9 curated generic batch
ing-amlodipine,Амлодипін,amlodypin,uk-Latn,transliteration,project_generated_transliteration,high,C08CA01,v0.9 deterministic transliteration
ing-amlodipine,Амлодипін,Амлодипін,uk,ukrainian,public_generic_inn,verified,C08CA01,v0.9 curated generic batch
ing-atorvastatin,Аторвастатин,Atorvastatin,en,english,public_generic_inn,verified,C10AA05,v0.9 curated generic batch
ing-atorvastatin,Аторвастатин,Atorvastatinum,la,latin,public_generic_inn,verified,C10AA05,v0.9 curated generic batch
ing-atorvastatin,Аторвастатин,atorvastatyn,uk-Latn,transliteration,project_generated_transliteration,high,C10AA05,v0.9 deterministic transliteration
ing-atorvastatin,Аторвастатин,Аторвастатин,uk,ukrainian,public_generic_inn,verified,C10AA05,v0.9 curated generic batch
ing-bisoprolol,Бісопролол,Bisoprolol,en,english,public_generic_inn,verified,C07AB07,v0.9 curated generic batch
ing-bisoprolol,Бісопролол,Bisoprololum,la,latin,public_generic_inn,verified,C07AB07,v0.9 curated generic batch
ing-bisoprolol,Бісопролол,Бісопролол,uk,ukrainian,public_generic_inn,verified,C07AB07,v0.9 curated generic batch
ing-valsartan,Валсартан,Valsartan,en,english,public_generic_inn,verified,C09CA03,v0.9 curated generic batch
ing-valsartan,Валсартан,Valsartanum,la,latin,public_generic_inn,verified,C09CA03,v0.9 curated generic batch
ing-valsartan,Валсартан,Валсартан,uk,ukrainian,public_generic_inn,verified,C09CA03,v0.9 curated generic batch
ing-heparin-topical,Гепарин натрію,Heparin (topical),en,english,public_generic_inn,verified,C05BA03,v0.9 curated generic batch
ing-heparin-topical,Гепарин натрію,Heparinum natricum,la,latin,public_generic_inn,verified,C05BA03,v0.9 curated generic batch
ing-heparin-topical,Гепарин натрію,heparyn natriiu,uk-Latn,transliteration,project_generated_transliteration,high,C05BA03,v0.9 deterministic transliteration
ing-heparin-topical,Гепарин натрію,Гепарин натрію,uk,ukrainian,public_generic_inn,verified,C05BA03,v0.9 curated generic batch
ing-hydrochlorothiazide,Гідрохлортіазид,Hydrochlorothiazide,en,english,public_generic_inn,verified,C03AA03,v0.9 curated generic batch
ing-hydrochlorothiazide,Гідрохлортіазид,Hydrochlorothiazidum,la,latin,public_generic_inn,verified,C03AA03,v0.9 curated generic batch
ing-hydrochlorothiazide,Гідрохлортіазид,hidrokhlortiazyd,uk-Latn,transliteration,project_generated_transliteration,high,C03AA03,v0.9 deterministic transliteration
ing-hydrochlorothiazide,Гідрохлортіазид,Гідрохлортіазид,uk,ukrainian,public_generic_inn,verified,C03AA03,v0.9 curated generic batch
ing-digoxin,Дигоксин,Digoxin,en,english,public_generic_inn,verified,C01AA05,v0.9 curated generic batch
ing-digoxin,Дигоксин,Digoxinum,la,latin,public_generic_inn,verified,C01AA05,v0.9 curated generic batch
ing-digoxin,Дигоксин,dyhoksyn,uk-Latn,transliteration,project_generated_transliteration,high,C01AA05,v0.9 deterministic transliteration
ing-digoxin,Дигоксин,Дигоксин,uk,ukrainian,public_generic_inn,verified,C01AA05,v0.9 curated generic batch
ing-enalapril,Еналаприл,Enalapril,en,english,public_generic_inn,verified,C09AA02,v0.9 curated generic batch
ing-enalapril,Еналаприл,Enalaprilum,la,latin,public_generic_inn,verified,C09AA02,v0.9 curated generic batch
ing-enalapril,Еналаприл,enalapryl,uk-Latn,transliteration,project_generated_transliteration,high,C09AA02,v0.9 deterministic transliteration
ing-enalapril,Еналаприл,Еналаприл,uk,ukrainian,public_generic_inn,verified,C09AA02,v0.9 curated generic batch
ing-isosorbide-dinitrate,Ізосорбіду динітрат,Isosorbide dinitrate,en,english,public_generic_inn,verified,C01DA08,v0.9 curated generic batch
ing-isosorbide-dinitrate,Ізосорбіду динітрат,Isosorbidi dinitras,la,latin,public_generic_inn,verified,C01DA08,v0.9 curated generic batch
ing-isosorbide-dinitrate,Ізосорбіду динітрат,izosorbidu dynitrat,uk-Latn,transliteration,project_generated_transliteration,high,C01DA08,v0.9 deterministic transliteration
ing-isosorbide-dinitrate,Ізосорбіду динітрат,Ізосорбіду динітрат,uk,ukrainian,public_generic_inn,verified,C01DA08,v0.9 curated generic batch
