ingredient_id,canonical_inn,name,locale,name_type,source_id,confidence,atc_code,notes
ing-ambroxol,Амброксол,Ambroxol,en,english,public_generic_inn,verified,R05CB06,v0.9 curated generic batch
ing-ambroxol,Амброксол,Ambroxolum,la,latin,public_generic_inn,verified,R05CB06,v0.9 curated generic batch
ing-ambroxol,Амброксол,ambroksol,uk-Latn,transliteration,project_generated_transliteration,high,R05CB06,v0.9 deterministic transliteration
ing-ambroxol,Амброксол,Амброксол,uk,ukrainian,public_generic_inn,verified,R05CB06,v0.9 curated generic batch
ing-acetylcysteine,Ацетилцистеїн,Acetylcysteine,en,english,public_generic_inn,verified,R05CB01,v0.9 curated generic batch
ing-acetylcysteine,Ацетилцистеїн,Acetylcysteinum,la,latin,public_generic_inn,verified,R05CB01,v0.9 curated generic batch
ing-acetylcysteine,Ацетилцистеїн,atsetyltsystein,uk-Latn,transliteration,project_generated_transliteration,high,R05CB01,v0.9 deterministic transliteration
ing-acetylcysteine,Ацетилцистеїн,Ацетилцистеїн,uk,ukrainian,public_generic_inn,verified,R05CB01,v0.9 curated generic batch
ing-bromhexine,Бромгексин,Bromhexine,en,english,public_generic_inn,verified,R05CB02,v0.9 curated generic batch
ing-bromhexine,Бромгексин,Bromhexinum,la,latin,public_generic_inn,verified,R05CB02,v0.9 curated generic batch
ing-bromhexine,Бромгексин,bromheksyn,uk-Latn,transliteration,project_generated_transliteration,high,R05CB02,v0.9 deterministic transliteration
ing-bromhexine,Бромгексин,Бромгексин,uk,ukrainian,public_generic_inn,verified,R05CB02,v0.9 curated generic batch
ing-budesonide,Будесонід,Budesonide,en,english,public_generic_inn,verified,R03BA02,v0.9 curated generic batch
ing-budesonide,Будесонід,Budesonidum,la,latin,public_generic_inn,verified,R03BA02,v0.9 curated generic batch
ing-budesonide,Будесонід,budesonid,uk-Latn,transliteration,project_generated_transliteration,high,R03BA02,v0.9 deterministic transliteration
ing-budesonide,Будесонід,Будесонід,uk,ukrainian,public_generic_inn,verified,R03BA02,v0.9 curated generic batch
ing-desloratadine,Дезлоратадин,Desloratadine,en,english,public_generic_inn,verified,R06AX27,v0.9 curated generic batch
ing-desloratadine,Дезлоратадин,Desloratadinum,la,latin,public_generic_inn,verified,R06AX27,v0.9 curated generic batch
ing-desloratadine,Дезлоратадин,dezloratadyn,uk-Latn,transliteration,project_generated_transliteration,high,R06AX27,v0.9 deterministic transliteration
ing-desloratadine,Дезлоратадин,Дезлоратадин,uk,ukrainian,public_generic_inn,verified,R06AX27,v0.9 curated generic batch
ing-dimetindene,Диметинден,Dimetindene,en,english,public_generic_inn,verified,R06AB03,v0.9 curated generic batch
ing-dimetindene,Диметинден,Dimetindenum,la,latin,public_generic_inn,verified,R06AB03,v0.9 curated generic batch
ing-dimetindene,Диметинден,dymetynden,uk-Latn,transliteration,project_generated_transliteration,high,R06AB03,v0.9 deterministic transliteration
ing-dimetindene,Диметинден,Диметинден,uk,ukrainian,public_generic_inn,verified,R06AB03,v0.9 curated generic batch
ing-carbocisteine,Карбоцистеїн,Carbocisteine,en,english,public_generic_inn,verified,R05CB03,v0.9 curated generic batch
ing-carbocisteine,Карбоцистеїн,Carbocisteinum,la,latin,public_generic_inn,verified,R05CB03,v0.9 curated generic batch
ing-carbocisteine,Карбоцистеїн,karbotsystein,uk-Latn,transliteration,project_generated_transliteration,high,R05CB03,v0.9 deterministic transliteration
ing-carbocisteine,Карбоцистеїн,Карбоцистеїн,uk,ukrainian,public_generic_inn,verified,R05CB03,v0.9 curated generic batch
ing-codeine,Кодеїн,Codeine,en,english,public_generic_inn,verified,R05DA04,v0.9 curated generic batch
ing-codeine,Кодеїн,Codeinum,la,latin,public_generic_inn,verified,R05DA04,v0.9 curated generic batch
